cluster_id,city_name,ds,order_count,centroid_lat,centroid_lon,unique_aois,unique_types,earliest_receipt,latest_receipt,assigned_courier,assignment_dist_km
266,Chongqing,318,121,30.292318807739846,102.58744710599403,49,6,1900-03-18 07:16:00,1900-03-18 15:27:00,bc8cedccfcdf7d2ce7f3c3e558b43159,4.4777
402,Chongqing,318,1,30.314813566164048,102.60039243724385,1,1,1900-03-18 07:18:00,1900-03-18 07:18:00,b8ba221eda1d823451a5757afbd36d88,2.4512
322,Chongqing,318,9,30.26531183743161,102.57570933182929,7,3,1900-03-18 07:19:00,1900-03-18 07:52:00,1310cb892000bae1878940563d247563,7.3533
342,Chongqing,318,10,30.26931600685761,102.48201733410886,9,2,1900-03-18 07:21:00,1900-03-18 07:21:00,b8ba221eda1d823451a5757afbd36d88,14.7275
373,Chongqing,318,2,30.250147360880742,102.47027974019272,2,1,1900-03-18 07:21:00,1900-03-18 07:21:00,1310cb892000bae1878940563d247563,16.6074
352,Chongqing,318,2,30.249526522451994,102.57577492605043,2,1,1900-03-18 07:21:00,1900-03-18 07:21:00,b8ba221eda1d823451a5757afbd36d88,8.744
349,Chongqing,318,2,30.2429455550112,102.49744312709413,2,2,1900-03-18 07:21:00,1900-03-18 07:21:00,1310cb892000bae1878940563d247563,14.7265
412,Chongqing,318,1,30.283485753303577,102.46406632759535,1,1,1900-03-18 07:21:00,1900-03-18 07:21:00,b8ba221eda1d823451a5757afbd36d88,15.9336
411,Chongqing,318,1,30.253551870878233,102.4838725026682,1,1,1900-03-18 07:21:00,1900-03-18 07:21:00,1310cb892000bae1878940563d247563,15.2691
391,Chongqing,318,1,30.26277260963958,102.55320887412313,1,1,1900-03-18 07:21:00,1900-03-18 07:21:00,b8ba221eda1d823451a5757afbd36d88,9.0931
315,Chongqing,318,1,30.271443170887366,102.45202322859419,1,1,1900-03-18 07:21:00,1900-03-18 07:21:00,1310cb892000bae1878940563d247563,17.3944
273,Chongqing,318,1,30.259923389217427,102.5958615164187,1,1,1900-03-18 07:21:00,1900-03-18 07:21:00,b8ba221eda1d823451a5757afbd36d88,6.7868
292,Chongqing,318,4,30.361261563202515,102.62538998495603,2,1,1900-03-18 07:23:00,1900-03-18 07:23:00,cd03d98e01dcafb21b431997268e1fdd,5.1172
393,Chongqing,318,1,30.374101807846795,102.60498239286807,1,1,1900-03-18 07:23:00,1900-03-18 07:23:00,cd03d98e01dcafb21b431997268e1fdd,6.8475
252,Chongqing,318,1484,30.042115563229853,101.71839841760398,551,14,1900-03-18 07:25:00,1900-03-23 12:06:00,3d422549d258c991f749937347d42abe,1.2029
340,Chongqing,318,8,30.26840895607132,101.80096532689657,3,2,1900-03-18 07:29:00,1900-03-18 07:36:00,fe4c7a26807da51fe0f9608b0c422b8a,14.4724
334,Chongqing,318,3,30.187164637991774,101.74125900703264,1,1,1900-03-18 07:29:00,1900-03-18 14:25:00,de8ef84e9a5a83230db1e9f78a823c93,5.8829
332,Chongqing,318,3,30.2628483753939,101.78029084832133,2,1,1900-03-18 07:29:00,1900-03-18 07:32:00,a7b7d763a685429818fdfdf5767361d0,12.8801
286,Chongqing,318,28,30.17158931862497,101.74598284514748,8,2,1900-03-18 07:30:00,1900-03-18 14:51:00,aba703cad68a631c96aa992d096cbe77,6.459
