hub_id,warehouse_name,city,delivery_count,total,pickup_ratio,delivery_ratio,is_warehouse,is_delivery_hub,is_mixed_hub,rep_dipan_id,capacity,total_products
W001,Hangzhou_Hub_0,Hangzhou,178701,353191,0.4940386363185925,0.5059613636814075,False,False,True,2c74e744028ced6482eb767d0e708b7e,353191,50
W002,Shanghai_Hub_1,Shanghai,155605,288097,0.459886774246174,0.5401132257538259,False,False,True,10f16f07f31f8ef0533560f4b09bdb6b,288097,38
W003,Chongqing_Hub_2,Chongqing,107687,183926,0.4145090960494981,0.5854909039505019,False,False,True,2c9b7acff227e2ca8e965dcb18c1d8c1,183926,22
W004,Chongqing_Hub_3,Chongqing,1070,1070,0.0,1.0,False,True,False,bd98b257a1587f91404e4e4b4c052f9c,1070,20
W005,Chongqing_Hub_4,Chongqing,0,3656,1.0,0.0,True,False,False,42b8530b6e9c99d7fbc8b674b1291f9b,3656,40
W006,Yantai_Hub_5,Yantai,0,51668,1.0,0.0,True,False,False,48b4e978986f2126cb4725a7e840cd8e,51668,45
W007,Hangzhou_Hub_6,Hangzhou,1574,1574,0.0,1.0,False,True,False,2a0e11a3115546829127eafb3f4c1161,1574,31
W008,Chongqing_Hub_7,Chongqing,2391,5082,0.5295159386068476,0.4704840613931523,False,False,True,150b0abb6c438faf58cfc760f8d99845,5082,47
W009,Hangzhou_Hub_8,Hangzhou,2842,10280,0.7235408560311284,0.2764591439688716,False,False,False,3bef535785e34d02081d900fdbd757a1,10280,36
W010,Yantai_Hub_9,Yantai,0,5025,1.0,0.0,True,False,False,9858afda1629449116e03ce5905b4c3f,5025,24
W011,Hangzhou_Hub_10,Hangzhou,1799,7898,0.7722208153963028,0.2277791846036971,False,False,False,06b8ffad301620933e8d1bfc6b235a51,7898,28
W012,Chongqing_Hub_11,Chongqing,1475,4492,0.6716384683882458,0.3283615316117542,False,False,True,0be8974ac684e2db428161bf142ced02,4492,20
W013,Shanghai_Hub_12,Shanghai,0,2697,1.0,0.0,True,False,False,09b84396125bbf3302f08e6cf5314025,2697,36
W014,Chongqing_Hub_13,Chongqing,0,5552,1.0,0.0,True,False,False,1da2b6671eea9f47a8f590f28c969f0e,5552,21
W015,Jilin_Hub_14,Jilin,0,7157,1.0,0.0,True,False,False,5d1b4f62d7fe241097124cc3d59b8fa5,7157,25
W016,Yantai_Hub_15,Yantai,0,4018,1.0,0.0,True,False,False,ab9c0e3488106cebda53f7ad5006d900,4018,28
W017,Shanghai_Hub_16,Shanghai,2917,2917,0.0,1.0,False,True,False,10b491e0fc5a87ebf031728a39681a5c,2917,21
W018,Shanghai_Hub_17,Shanghai,3639,8255,0.5591762568140521,0.4408237431859479,False,False,True,000d2d6015b0c82c87ae9ebcca4b4df1,8255,49
W019,Chongqing_Hub_18,Chongqing,0,1874,1.0,0.0,True,False,False,3da92cbce751ec513ac61da6abb3b0e7,1874,20
W020,Shanghai_Hub_19,Shanghai,3377,5290,0.3616257088846881,0.6383742911153119,False,False,True,1e0b3306746c0c9facdaf77b96f71bdb,5290,29
W021,Chongqing_Hub_20,Chongqing,2978,8299,0.6411615857332209,0.3588384142667791,False,False,True,24556ca7ef286e812edeef204a5fc712,8299,22
W022,Yantai_Hub_21,Yantai,0,4551,1.0,0.0,True,False,False,8d07525f08cd28bb54e44805dd5d66c7,4551,33
W023,Chongqing_Hub_22,Chongqing,1886,2564,0.2644305772230889,0.7355694227769111,False,True,False,d512a699766e7ea62d9721ba805e00df,2564,47
W024,Chongqing_Hub_23,Chongqing,0,2629,1.0,0.0,True,False,False,2a7e0d9ab6d897d7767ed1723b572840,2629,44
W025,Jilin_Hub_24,Jilin,0,371,1.0,0.0,True,False,False,b37574fbbfaae203d3358ddf43a471e4,371,29
W026,Yantai_Hub_25,Yantai,0,2319,1.0,0.0,True,False,False,98f09a051db855bf4a932f85cc09a4dc,2319,46
W027,Yantai_Hub_26,Yantai,0,3825,1.0,0.0,True,False,False,06e5c628c2842f0f9d5e5dc00903eb59,3825,44
W028,Chongqing_Hub_27,Chongqing,0,1853,1.0,0.0,True,False,False,1540c3f87621b18dc4d0ddfc08e876a8,1853,45
W029,Chongqing_Hub_28,Chongqing,0,2658,1.0,0.0,True,False,False,11b13a59e12405898fb093d408ee9800,2658,47
W030,Chongqing_Hub_29,Chongqing,2106,6514,0.6766963463309794,0.3233036536690206,False,False,True,1e3f747079e56836f44df22c02170bea,6514,25
W031,Chongqing_Hub_30,Chongqing,0,1886,1.0,0.0,True,False,False,0ff29c2995f2bd4386a3d7c158cf1a1a,1886,46
W032,Yantai_Hub_31,Yantai,0,2321,1.0,0.0,True,False,False,8a2ca3537d0576dabe8bc9796af88c73,2321,26
W033,Shanghai_Hub_32,Shanghai,0,1612,1.0,0.0,True,False,False,1a9bfae281fdde2ed92d51dc7781ea52,1612,20
W034,Yantai_Hub_33,Yantai,0,1054,1.0,0.0,True,False,False,63da06b8cd1fd1bdb318d87ebf017a83,1054,32
W035,Chongqing_Hub_34,Chongqing,0,1523,1.0,0.0,True,False,False,085372854583214d1393a223f4e8929b,1523,33
W036,Yantai_Hub_35,Yantai,0,1241,1.0,0.0,True,False,False,9e915db1e2d19059987386820134b95f,1241,49
W037,Jilin_Hub_36,Jilin,0,286,1.0,0.0,True,False,False,0549171a96b7fe5606eb67462941608b,286,32
W038,Jilin_Hub_37,Jilin,0,477,1.0,0.0,True,False,False,6fc2f79f597da33fd54db394a24f27cb,477,28
W039,Jilin_Hub_38,Jilin,0,354,1.0,0.0,True,False,False,0d40e43185af6867ca1af31f3abc3235,354,42
W040,Jilin_Hub_39,Jilin,0,595,1.0,0.0,True,False,False,060a63afded2f87b26ee43b503fccc04,595,24
W041,Chongqing_Hub_40,Chongqing,0,426,1.0,0.0,True,False,False,22e02f0fec839071e683df791041ba5d,426,35
W042,Chongqing_Hub_41,Chongqing,144,144,0.0,1.0,False,True,False,7be46d3f77a40a0e2187571a14b4a130,144,26
W043,Chongqing_Hub_42,Chongqing,108,108,0.0,1.0,False,True,False,7be46d3f77a40a0e2187571a14b4a130,108,23
W044,Chongqing_Hub_43,Chongqing,187,187,0.0,1.0,False,True,False,33d8a132bce9eae67d05a33a63b43fa5,187,49
W045,Chongqing_Hub_44,Chongqing,115,115,0.0,1.0,False,True,False,bd98b257a1587f91404e4e4b4c052f9c,115,36
W046,Chongqing_Hub_45,Chongqing,113,113,0.0,1.0,False,True,False,25edb0e70d1f9802cf578fcb28354f95,113,29
