inventory_id,product_id,hub_id,rep_dipan_id,quantity,threshold_limit,last_updated
I00001,P046,W001,2c74e744028ced6482eb767d0e708b7e,12004,1888,2026-02-19 05:17:19
I00002,P047,W002,10f16f07f31f8ef0533560f4b09bdb6b,8864,1129,2026-04-10 06:03:35
I00003,P042,W003,2c9b7acff227e2ca8e965dcb18c1d8c1,8347,4416,2026-01-27 12:25:18
I00004,P046,W004,bd98b257a1587f91404e4e4b4c052f9c,7684,3772,2026-01-23 11:19:52
I00005,P005,W005,42b8530b6e9c99d7fbc8b674b1291f9b,1545,3088,2026-04-19 10:36:22
I00006,P039,W006,48b4e978986f2126cb4725a7e840cd8e,13432,3330,2026-02-28 14:00:45
I00007,P026,W007,2a0e11a3115546829127eafb3f4c1161,13969,4755,2026-01-27 03:13:43
I00008,P004,W008,150b0abb6c438faf58cfc760f8d99845,14286,4847,2026-02-24 00:42:17
I00009,P011,W009,3bef535785e34d02081d900fdbd757a1,8702,1794,2026-03-13 18:48:21
I00010,P012,W010,9858afda1629449116e03ce5905b4c3f,13689,4667,2026-02-13 20:16:47
I00011,P022,W011,06b8ffad301620933e8d1bfc6b235a51,16333,4435,2026-01-02 10:35:32
I00012,P032,W012,0be8974ac684e2db428161bf142ced02,2586,2595,2026-02-28 20:22:48
I00013,P002,W013,09b84396125bbf3302f08e6cf5314025,6305,2947,2026-03-12 23:22:31
I00014,P023,W014,1da2b6671eea9f47a8f590f28c969f0e,18643,3921,2026-01-15 22:03:20
I00015,P050,W015,5d1b4f62d7fe241097124cc3d59b8fa5,19153,2756,2026-02-23 14:17:19
I00016,P010,W016,ab9c0e3488106cebda53f7ad5006d900,12755,3989,2026-01-07 13:03:15
I00017,P018,W017,10b491e0fc5a87ebf031728a39681a5c,10626,3656,2026-02-07 20:37:32
I00018,P008,W018,000d2d6015b0c82c87ae9ebcca4b4df1,9597,4568,2026-05-07 21:43:11
I00019,P044,W019,3da92cbce751ec513ac61da6abb3b0e7,9063,3481,2026-04-06 09:39:21
I00020,P033,W020,1e0b3306746c0c9facdaf77b96f71bdb,9605,3914,2026-03-18 22:02:28
I00021,P049,W021,24556ca7ef286e812edeef204a5fc712,3235,1551,2026-01-16 03:40:36
I00022,P037,W022,8d07525f08cd28bb54e44805dd5d66c7,6172,2672,2026-02-25 03:11:22
I00023,P018,W023,d512a699766e7ea62d9721ba805e00df,1753,4996,2026-04-18 07:33:19
I00024,P025,W024,2a7e0d9ab6d897d7767ed1723b572840,2276,1558,2026-03-13 20:10:05
I00025,P007,W025,b37574fbbfaae203d3358ddf43a471e4,1104,1559,2026-04-12 08:38:30
I00026,P050,W026,98f09a051db855bf4a932f85cc09a4dc,17755,3814,2026-01-28 04:18:52
I00027,P020,W027,06e5c628c2842f0f9d5e5dc00903eb59,12256,1287,2026-03-19 07:37:14
I00028,P039,W028,1540c3f87621b18dc4d0ddfc08e876a8,18628,1865,2026-03-25 20:05:15
I00029,P022,W029,11b13a59e12405898fb093d408ee9800,8336,2691,2026-03-25 15:59:20
I00030,P037,W030,1e3f747079e56836f44df22c02170bea,4994,3060,2026-03-04 06:11:13
I00031,P008,W031,0ff29c2995f2bd4386a3d7c158cf1a1a,10407,4225,2026-03-24 00:43:07
I00032,P044,W032,8a2ca3537d0576dabe8bc9796af88c73,2612,2454,2026-04-21 06:09:55
I00033,P047,W033,1a9bfae281fdde2ed92d51dc7781ea52,4443,4865,2026-01-21 02:48:10
I00034,P024,W034,63da06b8cd1fd1bdb318d87ebf017a83,17650,4547,2026-03-09 07:00:37
I00035,P033,W035,085372854583214d1393a223f4e8929b,15305,1062,2026-01-10 11:14:52
I00036,P033,W036,9e915db1e2d19059987386820134b95f,16693,2763,2026-02-11 00:21:16
I00037,P029,W037,0549171a96b7fe5606eb67462941608b,1477,1128,2026-02-24 16:39:45
I00038,P029,W038,6fc2f79f597da33fd54db394a24f27cb,19170,1388,2026-01-08 09:28:51
I00039,P004,W039,0d40e43185af6867ca1af31f3abc3235,10043,4888,2026-03-29 09:19:52
I00040,P028,W040,060a63afded2f87b26ee43b503fccc04,13304,2140,2026-03-10 22:46:45
I00041,P003,W041,22e02f0fec839071e683df791041ba5d,966,1725,2026-04-13 13:02:24
I00042,P023,W042,7be46d3f77a40a0e2187571a14b4a130,9330,3226,2026-02-21 02:29:15
I00043,P010,W043,7be46d3f77a40a0e2187571a14b4a130,8015,2353,2026-01-06 18:18:35
I00044,P035,W044,33d8a132bce9eae67d05a33a63b43fa5,16598,4363,2026-03-07 17:49:19
I00045,P029,W045,bd98b257a1587f91404e4e4b4c052f9c,19920,4057,2026-03-14 13:21:36
I00046,P019,W046,25edb0e70d1f9802cf578fcb28354f95,10697,4069,2026-02-28 23:44:13
I00047,P001,W030,1e3f747079e56836f44df22c02170bea,11363,2739,2026-04-09 15:44:08
I00048,P001,W041,22e02f0fec839071e683df791041ba5d,11506,3717,2026-04-04 06:30:29
I00049,P001,W034,63da06b8cd1fd1bdb318d87ebf017a83,12711,1968,2026-03-26 06:04:44
I00050,P001,W031,0ff29c2995f2bd4386a3d7c158cf1a1a,18722,1761,2026-04-30 04:23:22
I00051,P001,W021,24556ca7ef286e812edeef204a5fc712,1894,4515,2026-02-13 06:47:32
I00052,P002,W007,2a0e11a3115546829127eafb3f4c1161,12820,2965,2026-03-27 14:03:38
I00053,P002,W034,63da06b8cd1fd1bdb318d87ebf017a83,10664,2625,2026-04-01 10:09:38
I00054,P002,W012,0be8974ac684e2db428161bf142ced02,11934,3914,2026-05-10 09:16:09
I00055,P002,W016,ab9c0e3488106cebda53f7ad5006d900,14630,4083,2026-03-02 22:22:48
I00056,P002,W044,33d8a132bce9eae67d05a33a63b43fa5,15310,4679,2026-02-08 17:05:55
I00057,P003,W020,1e0b3306746c0c9facdaf77b96f71bdb,527,3282,2026-02-24 16:47:58
I00058,P003,W011,06b8ffad301620933e8d1bfc6b235a51,2090,1167,2026-02-02 15:46:23
I00059,P003,W044,33d8a132bce9eae67d05a33a63b43fa5,12410,1236,2026-03-07 20:47:53
I00060,P003,W013,09b84396125bbf3302f08e6cf5314025,2743,3796,2026-02-11 16:42:24
I00061,P003,W005,42b8530b6e9c99d7fbc8b674b1291f9b,4653,3109,2026-05-09 09:49:22
I00062,P003,W026,98f09a051db855bf4a932f85cc09a4dc,7461,1176,2026-03-11 22:07:18
I00063,P004,W038,6fc2f79f597da33fd54db394a24f27cb,19476,3435,2026-04-25 11:46:33
I00064,P004,W037,0549171a96b7fe5606eb67462941608b,18935,2777,2026-05-10 20:31:34
I00065,P004,W036,9e915db1e2d19059987386820134b95f,10268,4009,2026-03-24 03:24:49
I00066,P004,W016,ab9c0e3488106cebda53f7ad5006d900,6253,4044,2026-04-22 07:49:43
I00067,P004,W021,24556ca7ef286e812edeef204a5fc712,11484,3244,2026-01-24 08:42:13
I00068,P005,W014,1da2b6671eea9f47a8f590f28c969f0e,3764,1429,2026-03-17 22:25:07
I00069,P005,W036,9e915db1e2d19059987386820134b95f,14913,4741,2026-04-05 14:47:30
I00070,P005,W025,b37574fbbfaae203d3358ddf43a471e4,8115,2071,2026-04-24 11:49:23
I00071,P005,W033,1a9bfae281fdde2ed92d51dc7781ea52,3169,2190,2026-01-29 21:05:22
I00072,P005,W024,2a7e0d9ab6d897d7767ed1723b572840,11091,1928,2026-01-25 03:17:57
I00073,P006,W010,9858afda1629449116e03ce5905b4c3f,14861,4637,2026-02-07 00:50:50
I00074,P006,W023,d512a699766e7ea62d9721ba805e00df,17295,4557,2026-03-04 02:59:16
I00075,P006,W005,42b8530b6e9c99d7fbc8b674b1291f9b,9604,1864,2026-04-09 00:23:36
I00076,P006,W037,0549171a96b7fe5606eb67462941608b,17964,3981,2026-01-28 09:53:25
I00077,P006,W012,0be8974ac684e2db428161bf142ced02,7962,3639,2026-04-29 04:19:32
I00078,P007,W044,33d8a132bce9eae67d05a33a63b43fa5,17508,2705,2026-01-14 08:35:36
I00079,P007,W005,42b8530b6e9c99d7fbc8b674b1291f9b,17303,3841,2026-01-28 00:25:11
I00080,P007,W033,1a9bfae281fdde2ed92d51dc7781ea52,19928,1788,2026-04-22 07:22:40
I00081,P007,W004,bd98b257a1587f91404e4e4b4c052f9c,13655,1452,2026-02-12 13:42:06
I00082,P007,W026,98f09a051db855bf4a932f85cc09a4dc,18990,4298,2026-02-09 20:35:46
I00083,P007,W038,6fc2f79f597da33fd54db394a24f27cb,6041,3875,2026-05-10 07:20:24
I00084,P007,W024,2a7e0d9ab6d897d7767ed1723b572840,4474,4030,2026-01-25 05:01:26
I00085,P007,W012,0be8974ac684e2db428161bf142ced02,19663,1519,2026-01-01 12:59:47
I00086,P007,W019,3da92cbce751ec513ac61da6abb3b0e7,19329,4659,2026-04-30 13:09:35
I00087,P007,W006,48b4e978986f2126cb4725a7e840cd8e,9482,3144,2026-04-01 01:08:10
I00088,P007,W039,0d40e43185af6867ca1af31f3abc3235,7805,1185,2026-03-22 18:46:44
I00089,P007,W040,060a63afded2f87b26ee43b503fccc04,17316,1019,2026-03-12 12:31:20
I00090,P007,W021,24556ca7ef286e812edeef204a5fc712,19564,4053,2026-01-21 04:04:20
I00091,P007,W002,10f16f07f31f8ef0533560f4b09bdb6b,13975,1526,2026-04-09 19:37:17
I00092,P008,W016,ab9c0e3488106cebda53f7ad5006d900,13261,4647,2026-04-13 04:28:14
I00093,P008,W014,1da2b6671eea9f47a8f590f28c969f0e,8336,2335,2026-02-13 08:55:41
I00094,P008,W043,7be46d3f77a40a0e2187571a14b4a130,4673,1266,2026-02-17 18:04:49
I00095,P008,W037,0549171a96b7fe5606eb67462941608b,1204,4287,2026-03-16 22:26:42
I00096,P008,W023,d512a699766e7ea62d9721ba805e00df,9276,4767,2026-03-24 18:40:43
I00097,P008,W010,9858afda1629449116e03ce5905b4c3f,1252,3848,2026-03-10 14:45:19
I00098,P009,W039,0d40e43185af6867ca1af31f3abc3235,14738,1413,2026-01-14 17:32:41
I00099,P009,W027,06e5c628c2842f0f9d5e5dc00903eb59,10979,2104,2026-04-05 23:40:37
I00100,P009,W008,150b0abb6c438faf58cfc760f8d99845,13750,1172,2026-02-18 15:48:19
I00101,P009,W043,7be46d3f77a40a0e2187571a14b4a130,3805,4966,2026-04-03 06:35:23
I00102,P009,W041,22e02f0fec839071e683df791041ba5d,14892,2872,2026-02-09 08:20:51
I00103,P009,W021,24556ca7ef286e812edeef204a5fc712,7896,2947,2026-01-04 04:42:38
I00104,P009,W012,0be8974ac684e2db428161bf142ced02,1092,4886,2026-01-08 06:00:35
I00105,P009,W006,48b4e978986f2126cb4725a7e840cd8e,3399,3550,2026-02-04 03:16:42
I00106,P009,W010,9858afda1629449116e03ce5905b4c3f,14548,3712,2026-01-26 10:58:13
I00107,P009,W016,ab9c0e3488106cebda53f7ad5006d900,17116,2303,2026-04-18 00:00:25
I00108,P009,W013,09b84396125bbf3302f08e6cf5314025,5611,3520,2026-04-24 12:54:38
I00109,P010,W039,0d40e43185af6867ca1af31f3abc3235,10161,2558,2026-04-10 01:32:55
I00110,P010,W002,10f16f07f31f8ef0533560f4b09bdb6b,6582,3857,2026-01-24 18:46:14
I00111,P010,W015,5d1b4f62d7fe241097124cc3d59b8fa5,11643,3131,2026-01-29 09:17:45
I00112,P010,W034,63da06b8cd1fd1bdb318d87ebf017a83,16439,4305,2026-04-06 04:28:23
I00113,P010,W031,0ff29c2995f2bd4386a3d7c158cf1a1a,19776,2082,2026-02-21 19:24:35
I00114,P010,W025,b37574fbbfaae203d3358ddf43a471e4,12847,3071,2026-04-15 13:47:30
I00115,P011,W006,48b4e978986f2126cb4725a7e840cd8e,3759,1492,2026-04-18 02:54:21
I00116,P011,W031,0ff29c2995f2bd4386a3d7c158cf1a1a,14905,1065,2026-04-08 05:42:36
I00117,P011,W002,10f16f07f31f8ef0533560f4b09bdb6b,8787,3312,2026-05-12 09:01:03
I00118,P011,W001,2c74e744028ced6482eb767d0e708b7e,15663,2733,2026-04-15 09:24:18
I00119,P011,W018,000d2d6015b0c82c87ae9ebcca4b4df1,19150,3542,2026-01-07 10:54:11
I00120,P011,W023,d512a699766e7ea62d9721ba805e00df,10054,2773,2026-01-16 23:12:31
I00121,P011,W033,1a9bfae281fdde2ed92d51dc7781ea52,1239,1977,2026-04-08 12:55:40
I00122,P011,W038,6fc2f79f597da33fd54db394a24f27cb,1190,3734,2026-04-05 06:43:51
I00123,P011,W026,98f09a051db855bf4a932f85cc09a4dc,15243,4179,2026-03-24 11:38:07
I00124,P012,W004,bd98b257a1587f91404e4e4b4c052f9c,8774,3978,2026-03-10 17:35:23
I00125,P012,W038,6fc2f79f597da33fd54db394a24f27cb,5130,2774,2026-01-20 17:05:51
I00126,P012,W021,24556ca7ef286e812edeef204a5fc712,13948,4406,2026-02-12 16:17:23
I00127,P012,W028,1540c3f87621b18dc4d0ddfc08e876a8,14185,3637,2026-04-22 20:23:17
I00128,P012,W017,10b491e0fc5a87ebf031728a39681a5c,19524,4404,2026-01-09 00:54:03
I00129,P012,W025,b37574fbbfaae203d3358ddf43a471e4,12699,4492,2026-03-19 11:31:51
I00130,P012,W008,150b0abb6c438faf58cfc760f8d99845,16177,2077,2026-03-01 09:51:13
I00131,P012,W020,1e0b3306746c0c9facdaf77b96f71bdb,5419,4337,2026-05-01 20:28:24
I00132,P012,W001,2c74e744028ced6482eb767d0e708b7e,12333,1418,2026-03-17 15:33:37
I00133,P012,W029,11b13a59e12405898fb093d408ee9800,4183,3392,2026-02-02 16:12:29
I00134,P012,W007,2a0e11a3115546829127eafb3f4c1161,14161,1457,2026-04-15 08:31:36
I00135,P012,W014,1da2b6671eea9f47a8f590f28c969f0e,14231,4727,2026-05-11 06:00:20
I00136,P012,W043,7be46d3f77a40a0e2187571a14b4a130,3223,2489,2026-03-01 04:09:50
I00137,P012,W022,8d07525f08cd28bb54e44805dd5d66c7,15598,3123,2026-05-04 05:06:48
I00138,P013,W002,10f16f07f31f8ef0533560f4b09bdb6b,11006,4867,2026-03-29 04:52:44
I00139,P013,W029,11b13a59e12405898fb093d408ee9800,776,1011,2026-04-02 11:18:29
I00140,P013,W006,48b4e978986f2126cb4725a7e840cd8e,11856,3400,2026-03-16 12:24:45
I00141,P013,W019,3da92cbce751ec513ac61da6abb3b0e7,8520,1673,2026-04-09 03:30:55
I00142,P013,W034,63da06b8cd1fd1bdb318d87ebf017a83,9843,1137,2026-03-23 19:28:23
I00143,P013,W007,2a0e11a3115546829127eafb3f4c1161,6403,1899,2026-01-14 12:43:12
I00144,P013,W030,1e3f747079e56836f44df22c02170bea,19482,4784,2026-05-08 23:29:34
I00145,P014,W023,d512a699766e7ea62d9721ba805e00df,1169,4995,2026-05-12 08:24:43
I00146,P014,W028,1540c3f87621b18dc4d0ddfc08e876a8,18678,3807,2026-04-03 18:50:29
I00147,P014,W037,0549171a96b7fe5606eb67462941608b,15127,4224,2026-04-05 07:11:39
I00148,P014,W009,3bef535785e34d02081d900fdbd757a1,16855,3623,2026-04-30 18:29:07
I00149,P014,W033,1a9bfae281fdde2ed92d51dc7781ea52,3876,1204,2026-04-03 22:06:10
I00150,P014,W020,1e0b3306746c0c9facdaf77b96f71bdb,10328,1400,2026-02-24 12:29:16
I00151,P014,W008,150b0abb6c438faf58cfc760f8d99845,19996,3763,2026-04-18 01:30:05
I00152,P014,W014,1da2b6671eea9f47a8f590f28c969f0e,16126,3630,2026-01-21 09:53:54
I00153,P014,W041,22e02f0fec839071e683df791041ba5d,13414,1940,2026-01-27 09:36:58
I00154,P014,W003,2c9b7acff227e2ca8e965dcb18c1d8c1,8023,4290,2026-03-02 21:44:07
I00155,P014,W007,2a0e11a3115546829127eafb3f4c1161,18834,3880,2026-01-22 10:35:36
I00156,P014,W045,bd98b257a1587f91404e4e4b4c052f9c,3487,4214,2026-04-02 12:28:58
I00157,P014,W043,7be46d3f77a40a0e2187571a14b4a130,5731,2637,2026-04-08 13:43:06
I00158,P014,W031,0ff29c2995f2bd4386a3d7c158cf1a1a,9337,4597,2026-01-17 19:49:27
I00159,P014,W032,8a2ca3537d0576dabe8bc9796af88c73,12334,1728,2026-01-20 14:22:03
I00160,P015,W034,63da06b8cd1fd1bdb318d87ebf017a83,14522,2725,2026-03-30 10:35:49
I00161,P015,W031,0ff29c2995f2bd4386a3d7c158cf1a1a,5506,1764,2026-02-11 17:55:23
I00162,P015,W037,0549171a96b7fe5606eb67462941608b,8892,1835,2026-03-21 20:47:43
I00163,P015,W021,24556ca7ef286e812edeef204a5fc712,15713,3257,2026-02-07 20:33:31
I00164,P015,W038,6fc2f79f597da33fd54db394a24f27cb,13502,3718,2026-01-08 06:40:52
I00165,P015,W006,48b4e978986f2126cb4725a7e840cd8e,682,2065,2026-03-25 19:02:22
I00166,P015,W044,33d8a132bce9eae67d05a33a63b43fa5,1821,4497,2026-01-26 15:38:31
I00167,P015,W045,bd98b257a1587f91404e4e4b4c052f9c,10936,2718,2026-03-17 14:00:52
I00168,P015,W016,ab9c0e3488106cebda53f7ad5006d900,13038,1710,2026-01-20 13:54:48
I00169,P015,W026,98f09a051db855bf4a932f85cc09a4dc,1578,2711,2026-01-23 19:42:27
I00170,P015,W007,2a0e11a3115546829127eafb3f4c1161,5989,2116,2026-01-24 01:33:10
I00171,P015,W019,3da92cbce751ec513ac61da6abb3b0e7,11236,1885,2026-01-19 16:57:04
I00172,P015,W041,22e02f0fec839071e683df791041ba5d,18519,3524,2026-04-26 12:26:19
I00173,P016,W017,10b491e0fc5a87ebf031728a39681a5c,14825,1234,2026-02-19 16:04:09
I00174,P016,W033,1a9bfae281fdde2ed92d51dc7781ea52,15192,1016,2026-04-09 07:46:59
I00175,P016,W028,1540c3f87621b18dc4d0ddfc08e876a8,12808,3816,2026-03-17 06:36:46
I00176,P016,W018,000d2d6015b0c82c87ae9ebcca4b4df1,10492,3615,2026-02-16 16:59:21
I00177,P016,W046,25edb0e70d1f9802cf578fcb28354f95,1362,3562,2026-02-06 17:55:27
I00178,P016,W039,0d40e43185af6867ca1af31f3abc3235,3213,3783,2026-05-05 02:55:38
I00179,P016,W003,2c9b7acff227e2ca8e965dcb18c1d8c1,11660,3375,2026-04-06 03:06:43
I00180,P016,W019,3da92cbce751ec513ac61da6abb3b0e7,11801,4165,2026-03-09 04:10:08
I00181,P016,W015,5d1b4f62d7fe241097124cc3d59b8fa5,17110,4994,2026-03-28 07:38:53
I00182,P016,W023,d512a699766e7ea62d9721ba805e00df,1248,3645,2026-01-11 18:19:32
I00183,P017,W045,bd98b257a1587f91404e4e4b4c052f9c,12853,3975,2026-05-11 20:06:44
I00184,P017,W009,3bef535785e34d02081d900fdbd757a1,8137,1108,2026-01-11 20:09:56
I00185,P017,W012,0be8974ac684e2db428161bf142ced02,2708,4789,2026-04-16 11:29:20
I00186,P017,W021,24556ca7ef286e812edeef204a5fc712,13532,4518,2026-04-14 04:16:05
I00187,P017,W003,2c9b7acff227e2ca8e965dcb18c1d8c1,13985,3247,2026-01-26 11:06:27
I00188,P018,W027,06e5c628c2842f0f9d5e5dc00903eb59,666,3908,2026-03-08 10:54:35
I00189,P018,W040,060a63afded2f87b26ee43b503fccc04,7010,3861,2026-04-05 22:43:24
I00190,P018,W042,7be46d3f77a40a0e2187571a14b4a130,10974,4236,2026-01-15 13:56:05
I00191,P018,W012,0be8974ac684e2db428161bf142ced02,19880,2872,2026-04-30 13:03:19
I00192,P018,W001,2c74e744028ced6482eb767d0e708b7e,10653,2728,2026-04-08 17:16:22
I00193,P018,W032,8a2ca3537d0576dabe8bc9796af88c73,13716,2581,2026-04-18 12:19:53
I00194,P018,W031,0ff29c2995f2bd4386a3d7c158cf1a1a,4419,1093,2026-05-02 18:28:44
I00195,P019,W020,1e0b3306746c0c9facdaf77b96f71bdb,13541,1206,2026-03-03 14:22:33
I00196,P019,W016,ab9c0e3488106cebda53f7ad5006d900,5317,3600,2026-03-29 19:08:18
I00197,P019,W019,3da92cbce751ec513ac61da6abb3b0e7,1315,4594,2026-03-12 14:42:40
I00198,P019,W034,63da06b8cd1fd1bdb318d87ebf017a83,9837,2716,2026-03-31 07:55:27
I00199,P019,W008,150b0abb6c438faf58cfc760f8d99845,10655,2573,2026-05-01 01:05:00
I00200,P019,W036,9e915db1e2d19059987386820134b95f,2827,3724,2026-01-03 19:01:50
I00201,P019,W035,085372854583214d1393a223f4e8929b,16100,3812,2026-02-07 15:40:37
I00202,P019,W039,0d40e43185af6867ca1af31f3abc3235,15347,2433,2026-01-19 19:12:21
I00203,P019,W012,0be8974ac684e2db428161bf142ced02,12774,3479,2026-04-04 23:57:45
I00204,P019,W030,1e3f747079e56836f44df22c02170bea,3034,4799,2026-02-12 09:37:08
I00205,P019,W001,2c74e744028ced6482eb767d0e708b7e,18459,3196,2026-02-06 20:23:15
I00206,P019,W029,11b13a59e12405898fb093d408ee9800,3600,1627,2026-01-08 17:17:21
I00207,P019,W010,9858afda1629449116e03ce5905b4c3f,4306,1508,2026-04-22 13:42:31
I00208,P019,W021,24556ca7ef286e812edeef204a5fc712,9324,1300,2026-02-05 07:43:09
I00209,P020,W014,1da2b6671eea9f47a8f590f28c969f0e,19693,3919,2026-03-06 19:20:33
I00210,P020,W015,5d1b4f62d7fe241097124cc3d59b8fa5,1727,4777,2026-02-09 05:10:52
I00211,P020,W018,000d2d6015b0c82c87ae9ebcca4b4df1,1549,1055,2026-02-22 21:46:29
I00212,P020,W006,48b4e978986f2126cb4725a7e840cd8e,4775,4660,2026-04-16 13:23:17
